Author,Title,Category,Descriptors
"Smith, Traci",Faithful Families: Creating Sacred Moments at Home,Child-Rearing,
"Smith, Warren Sylvester",One Explorer's Glossary of Quaker Terms; Edited by Mae Smith Bixby; Revised by Deborah Haines,Quaker Basics,
"Soering, Jen","Church of the Second Chance,:A Faith-Based Approach to Prison Reform",P&SC:Prison,
"Solnit, Rebecca","Hope in the Dark: Untold Histories, Wild Possibilities",P&SC:Social Action,
"Sorel, Edward",Mary Astor's Purple Diary: The Great Ammerican Sex Scandal of 1936,b-Morningsiders,
"Southall, Kenneth H. ",Our Quaker Heritage: Early Meetinghouses,Quaker History,
"Sox, David",John Woolman 1720-1772: Quintessential Quaker,b-Quakers/Woolman,Woolman
"St.James, Elaine",Inner Simplicity: 100 Ways to Regain Peace and Nourish Your Soul,Spirituality,
"Starr, Mirabai","God of Love: A Guide to the Heart of Judaism, Christianity and Islam",Other Faiths,
"Steere, Douglas V",Where Words Come From: An Interpretation of the Ground and Practice of Quaker Worship and Ministry,b-Quakers/Steere,
"Steere, Douglas V.",Dimensions of Prayer: Cultivating a Relationship with God,b-Quakers/Steere,
"Steere, Douglas V.",On Listening to Another,b-Quakers/Steere,
"Steere, Douglas V.",Prayer and Worship,b-Quakers/Steere,
"Steere, Douglas V.",Work and Contemplation,b-Quakers/Steere,
"Steinberg, Laya","All Around Me I See; Chris Arbo, Illus.",Juvenile/Picture Book,
"Stephen, Caroline",Quaker Strongholds,b-Quakers/Stephen,
"Sterling, Dorothy",Lucretia Mott: Gentle Warrior,b-Quakers/Mott,
"Stevenson, Bryan",Just Mercy: A Story of Justice and Redemption,P&SC:Prison,
"Stone, Richard","Stories, the Family Legacy: A Guide for Recollection and Sharing",ARCH,
"Suggs, M. Jack et al, eds",Oxford Study Bible: Revised English Bible with Apocrypha,Bible,
"Swanson, David",War Is a Lie,P&SC:Peace & Nonviolence,
"Sweetland, Nancy","God's Quiet Things; Stevens, Rick, Illus.",Juvenile/Picture Book,
"Swennerfelt, Ruah",Rising to the Challenge: The Transition Movement and People of Faith,EarthCare,
"Swimme, Brian","Universe Is a Green Dragon, The",EarthCare,
"Sykes, John","Quakers, The: A New Look at Their Place in Society (London, 1958)",Quaker History,
"Talbot, Norman","Myths and Stories, Lies and Truth (The James Backhouse Lecture, 1999)",Quakerism,
"Taylor, Barbara Brown","Altar in the World, An: A Geography of Faith",Spirituality,
"Taylor, Barbara Brown",Learnng to Walk in the Dark,Spirituality,
"Taylor, Beth","Plain Language of Love and Loss, The: A Quaker Memoir",b-Quakers/Taylor,
"Taylor, Christine R.",Introduction to Quakerism (Publication of FGC),Quaker Basics,
"Thich, Naht Hanh","Guide to Walking Meditation, A",Other Faiths,Buddhism
"Thich, Nhat Hanh",Essential Writings,Other Faiths,Buddhism
"Thich, Nhat Hanh","Living Buddha, Living Christ",Other Faiths,Buddhism
"Thich, Nhat Hanh",Teachings on Love,Other Faiths,Buddhism
"Thiermann, Stephen","Always Loving: A Life in Five Worlds Unknown, a Biography of Mildred Hunter Thiermann","b-Quakers/Thiermann, Mildred",
"Tippett, Krista",Speaking of Faith: Why Religion Matters and How to Talk about It,Spirituality,
"Tolles, Frederick B.",Meeting House and Counting House: The Quaker Merchants of Colonial Philadelphia 1682-1763,Quaker History,
"Treadwell, Perry","Way of Friendship, The: Meditations on Love and Friendship",Spirituality,
"Trueblood, D. Elton","Incendiary Fellowship, The",b-Quakers/Trueblood,
"Trueblood, D. Elton","People Called Quakers, The",Quakerism ,
"Turkle, Brinton",Adventures of Obadiah,Juvenile/Picture Book,Quakers
"Turkle, Brinton",Obadiah the Bold,Juvenile/Picture Book,Quakers
"Turkle, Brinton",Rachel and Obadiah,Juvenile/Picture Book,Quakers
"Turkle, Brinton",Thy Friend Obadiah,Juvenile/Picture Book,Quakers
"Turner, Frederick Storrs","Quakers, The",Quaker History,
"Tutu, Desmond",God Has a Dream: A Vision of Hope for Our Time,P&SC:Global Concerns,
"Twain, Mark","War Prayer, The",P&SC:Peace & Nonviolence,
"Tweedy-Holmes, Karen & Jensen, Derrick",Thought to Exist in the Wild: Awakening from the Nightmare of Zoos,b-Morningsiders,Tweedy-Holmes Photographs
"Tweedy-Holmes, Karen & Millionis, Allison",Horse Sanctuary,b-Morningsiders,Tweedy-Holmes Photographs
"Underhill, Evelyn",Worship,Spirituality,
United Bible Society,"Good News, The: The Gospel According to Luke (in seven languages)",Bible,
"Ury, William","Getting to Peace:Transforming Conflict at Home, at Work and in the World",P&SC:Peace & Nonviolence,Peacemaking
"Van de Weyer, Robert","Illustrated Book of Christian Literature, The: The First Two Millennia",Other Faiths,
"Vining, Elizabeth Gray",Quiet Pilgrimage: Autobiography,b-Quakers/Vining,
"Vining, Elizabeth Gray","Virginia Exiles, The",Fiction ,Historical Novel
"Vining, Elizabeth Gray",Windows for the Crown Prince,b-Quakers/Vining,
"Vipont, Elfrida","Story of Quakerism through Three Centuries, The (Inscribed by Author)",Quaker History,
"Volf, Miroslav",Free of Charge: Giving and Forgiving in a Culture Stripped of Grace,Spirituality,
"von Borries, Achim",Quiet Helpers: Quaker Service in Postwar Germany,Quaker History,American Friends Service Committee (AFSC)
Voxpax,That the Voice of Peace Be Heard,,
"Waddington, Lynn",Staying True: Musings of an Odd-Duck Quaker Lesbian Approachng Death,b-Quakers/Waddington,
"Walker, Alice",We Are the Ones We Have Been Waiting For,P&SC: Racial Justice ,
"Wallace, Terry S.","Sincere and Constant Love, A: An Introduction to the Work of Margaret Fell",b-Quakers/Fell,
"Wallis, Jim",Faith Works: Lessons from the Life of an Activist Preacher,P&SC:Social Action,
"Wallis, Jim",Great Awakening: Reviving Faith and Religion in a Post-Religious Right America,P&SC:Social Action,
"Walvin, James","Quakers, The: Money and Morals",Quaker History,
War Resisters League,War Tax Resistance: A Guide to Withholding Your Support from the Military (2003),P&SC:Peace & Nonviolence,
"Watson, Elizabeth",Guests of My Life,ARCH/Grieving,
"Weaver, Harold D. et al, eds",Black Fire: African American Quakers on Spirituality and Human Rights,b-Quakers/Collection,Racial Justice
"Webster, Caroline Besse","Gandhian Quaker Convict and Peace Teacher, A: Lee Stern: World War II Cnscientious Objector",b-Quakers/Stern,
"Weller, Francis","Wild Edge of Sorrow, The: Rituals of Renewal and the Sacred Work of Grief",ARCH,
Wellesley Monthly Meeting,"Rufus Jones Companion, A (to a film on Rufus Jones)",b-Quakers/Jones,
"West, Jessamyn","Friendly Persuasion, The",Fiction,Historical Novel
"West, Jessamyn","Massacre at Fall Creek, The",Fiction,Novel
"West, Jessamyn, ed","Quaker Reader, The",b-Quakers/Collection,
"Whittier, John Greenleaf",Eleven Quaker Poems,Poetry,
"Whittier, John Greenleaf","Selections from the Religious Poems of J. G. Whittier (Tract Association of Friends, 1999)",Poetry,
"Wicks, Robert",Everyday Simplicity: A Practical Guide to Spiritual Growth,Spirituality,
"Wiesel, Elie",Souls on Fire: Portraits and Legends of Hassidic Masters,Other Faiths,Judaism
"Wiesel, Elie","Trial of God, The: As It was Held on February 25, 1649 in Shamgorod; A Play in 3 Acts",Other Faiths,Judaism
"Wilkerson, Isabel",Caste: The Origins of Our Discontents,P&SC:Racial Justice,
"Willcuts, Jack L. ",Why Friends are Friends: Some Quaker Core Convictions,Quakerism,
"William Penn Tercentenary Committee, The",Remember William Penn 1644-1944: A Tercentenary Memorial,b-Quakers/Penn,
"Williams, Patricia A.",Quakerism: A Theology for Our Time,Quakerism,
"Wilson, Lloyd Lee",Essays on the Quaker Vision of Gospel Order,b-Quakers/Wilson,
"Wilson, Robert H.",Philadelphia Quakers 1681-1981: A Tercentenary Family Album,Quaker History,
"Wink, Walter, ed.",Peace is the Way: Writings on Non-Violence from the Fellowship of Reconciliation,P&SC:Peace & Nonviolence,
"Wolfe, Missy","Insubordinate Spirit: ATrue Story of Life and Loss in Earliest America, 1610-1665 (For Quakers, See Ch 16)",Quaker History,
"Wood, Douglas",Old Turtle,Juvenile/Picture Book,
"Wood, Douglas","Old Turtle and the Broken Truth; Jon J. Muth, Illus.",Juvenile/Picture Book,
"Woolman, John",Journal of John Woolman and A Plea for the Poor (The John Greenleaf Whittier text),b-Quakers/Woolman,
"Woolman, John","Journal and Major Essays of John Woolman, Phillips P. Moulton, Ed",b-Quakers/Woolman,
"Woolman, John","John Woolman and the Affairs of Truth: The Journalist's Essays, Epistles and Ephemera; James Proud, ed.",b-Quakers/Woolman,
"Woolman, John","John Woolman: A Nonviolence and Social Change Sourcebook; Sterling Olmstead & Mike Heller, eds.",b-Quakers/Woolman,
"Wright, Barbara",Plain Language,Fiction,
"Yancey, Philip","Where is God When it Hurts?:A Comforting, Healing Guide for Coping with Hard Times",Spirituality,
"Yolen, Jane",Friend: The Story of George Fox and the Quakers,b-Quakers/Fox,
"Yolen, Jane & Andrew Fusek Peters, eds; Polly Dunbar, illus.",Here's a Little Poem: A Very First Book of Poetry,Juvenile/Picture Book,
"Yolen, Jane; Jack Kent, illus.","Simple Prince, The",Juvenile/Picture Book,
"Yount, David",How the Quakers Invented America,Quaker History,
"Yount, David",Spiritual Simplicity,Spirituality,
"Yount, David",Ten Thoughts to Take into Eternity: Living Wisely in Light of the Afterlife ,ARCH,
"Zalben, Jane Breskin",Paths to Peace: People Who changed the World,Juvenile,
"Zarembka, David","Peace of Africa, A: Reflections on Life in the Great Lakes Region",P&SC:Global Concerns,
"Zaru, Jean","Occupied with Nonviolence, A Palestinian Woman Speaks",P&SC:Global Concerns,
"Zehr, Howard","Little Book of Restorative Justice, The",P&SC:Social Action ,
"Zgola, Zitga M.",Care That Works: A Relationship Approach to Persons with Dementia,ARCH,
"Zullo, Germano; Albertine, illus.",Little Bird,Juvenile/Picture Book,
